rank,item_id,published_at,publisher,language,title,score,rationale_tags
61,5081,2019-08-11T20:26:24+00:00,NRC,nl,Een ritselaar en seksverslaafde die zich overal uit kon praten,72.0,base:41;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
62,2154,2026-05-21T16:20:02+00:00,midutahradio.com,en,Former Jeffrey Epstein assistant tells House Oversight Committee he abused her for years,71.2,base:44;primary:staff_operations;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;hash:unique;independence:first-pass
63,1716,2022-08-10T06:37:03.170010Z,Ynet,he,הסודות האפלים של ויקטוריה'ס סיקרט,71.1,base:26;primary:wexner_black;topic:wexner_black;era:2020_2024;fulltext:longform;headline-body-risk;outlet:quality;hash:unique;independence:first-pass;language:non-en
64,2147,2026-06-09T09:50:00.000+00:00,Sydney Morning Herald,en,This woman ran Epstein’s diary for 18 years. How much did she know?,70.1,base:51;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;original-signals:1;outlet:quality;hash:unique;independence:first-pass
65,4240,2019-08-11T07:08:15.000Z,Süddeutsche Zeitung,de,FBI untersucht Tod von Jeffrey Epstein,69.7,base:40;primary:maxwell;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
66,2168,2020-07-14,Sveriges Television AB,sv,Ghislaine Maxwell nekar till anklagelserna,69.1,base:20;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;hash:unique;independence:first-pass;language:non-en
67,3553,2019-08-10T16:28:48.000Z,Clarín,es,Las nuevas y escabrosas acusaciones que podrían estar relacionadas con la muerte de Jeffrey Epstein,68.4,base:39;primary:properties;topic:maxwell;topic:political_intelligence;topic:properties;era:2019;fulltext:longform;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
68,3400,2024-01-04T13:10:21.502Z,G1,pt,Jeffrey Epstein: bilionário comandou esquema de tráfico sexual e morreu na prisão; relembre | G1,67.7,base:40;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped;language:non-en
69,1431,2019-08-19T16:50:03.000Z,The Guardian,en,Prince Andrew urged to tell all he knows about Jeffrey Epstein,67.5,base:68;primary:political_intelligence;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2019;fulltext:substantive;documents:2;original-signals:2;outlet:quality;hash:unique;independence:repeat-capped
70,2152,2026-04-24T18:58:28+00:00,ABC News Australia,en,Virginia Giuffre's legacy and the year that followed the Epstein files release,67.3,base:47;primary:wexner_black;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:2;hash:unique;independence:first-pass
71,6658,2018-12-05T17:12:53-0500,CBS News,en,Ben Sasse calls on Justice Dept to investigate its treatment of Jeffrey Epstein,66.9,base:49;primary:staff_operations;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:1;hash:unique;independence:repeat-capped
72,2130,2026-06-30T10:34:01-04:00,connectradio.fm,en,"Doug Band, former aide to Bill Clinton, to be questioned about Clinton’s interactions with Epstein - Connect FM | Local News Radio | Dubois, PA",65.8,base:42;primary:properties;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;era:2026_plus;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:first-pass
73,2221,2025-08-01T21:56:02Z,The Atlantic,en,A MAGA Attorney Hired Epstein’s Lawyer for His ‘Valuable’ Experience,65.7,base:35;primary:staff_operations;topic:banks_trusts_usvi;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2025;fulltext:longform;documents:1;outlet:quality;hash:unique;independence:first-pass
74,2729,2024-01-05 07:46:33,Novinky.cz,cs,"David Copperfield, Stephen Hawking, Michael Jackson. Z Epsteinových spisů vyplouvají nečekaná jména - Novinky",65.3,base:27;primary:maxwell;topic:maxwell;topic:political_intelligence;era:2020_2024;fulltext:substantive;documents:1;hash:unique;independence:first-pass;language:non-en
75,7790,2011-03-07T12:20:16.000Z,NBC News,en,"Prince under fire over links to Gadhafi, prostitute, pedophile",65.0,base:28;primary:political_intelligence;topic:political_intelligence;era:pre_2015;fulltext:substantive;hash:unique;independence:first-pass
76,1886,2026-06-28T14:55:51.892Z,hellomagazine.com,en,Fresh blow for Sarah Ferguson as her secret meet ups with Epstein during prison sentence are revealed,64.0,base:48;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:3;original-signals:1;hash:unique;independence:first-pass
77,2223,2019-07-11,Times of Israel,en,Jeffrey Epstein was Ehud Barak’s business partner as late as 2015,64.0,base:26;primary:political_intelligence;topic:political_intelligence;topic:legal_accountability;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass
78,1512,2018-12-04T19:45:53.000Z,The Guardian,en,"Jeffrey Epstein: sex offender reaches settlement, averting victim testimonies",63.5,base:55;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:legal_accountability;era:2015_2018;fulltext:substantive;documents:2;outlet:quality;hash:unique;independence:repeat-capped
79,3942,2019-07-17T16:47:00+02:00,Le Figaro,fr,"Une vidéo de 1992 montre Trump faire la fête avec Jeffrey Epstein, accusé de «trafic sexuel»",62.5,base:20;primary:political_intelligence;topic:political_intelligence;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass;language:non-en
80,2121,2026-05-08T14:30:00Z,unionleader.com,en,"Connecticut aide arranged victims' flights, 'massages' for Jeffrey Epstein, DOJ files show",61.6,base:46;primary:science_philanthropy;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;original-signals:1;hash:unique;independence:first-pass
81,2270,2020-07-09,Times of Israel,en,Wexner Foundation: We paid Barak $2.3 million for 2 reports; 1 wasn’t finished,61.6,base:36;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;era:2020_2024;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped
82,8103,2015-01-07T18:11:18.000Z,NBC News,en,"All In With Chris Hayes, Tuesday, January 6th, 2015",61.4,base:54;primary:wexner_black;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;topic:properties;era:2015_2018;fulltext:longform;documents:2;hash:unique;independence:repeat-capped
