holder_id,business_name,holder_key,license_numbers,dbas,scope_classes,query,current_state,lapsed_state
BH-59e60ac5db8151b2,"BB SOCIAL CLUB, LLC",BBSOCIALCLUBLLC,"[""LB-99026""]","[""BACK BAY SOCIAL CLUB""]","[""alcohol_license""]",BB SOCIAL CLUB,pending,pending
BH-19c68b9b8f07d796,BC One Congress Tower Subsidiary LLC,BCONECONGRESSTOWERSUBSIDIARYLLC,"[""LB-99102""]",[],"[""alcohol_license""]",BC One Congress Tower Subsidiary,pending,pending
BH-2b7d8f5fb6866abe,BCP BEAT TRS LLC,BCPBEATTRSLLC,"[""LB-99353""]","[""Morrissey Hall""]","[""alcohol_license""]",BCP BEAT TRS,pending,pending
BH-5e8bd6575f413828,"Beacon Capitol Market, Inc.",BEACONCAPITOLMARKETINC,"[""LB-101906""]","[""Beacon Capitol Market""]","[""alcohol_license""]",Beacon Capitol Market,pending,pending
BH-226c8009dc5a7917,"BEACON FINE DINING, INC.",BEACONFINEDININGINC,"[""LB-98970""]","[""HARVARD GARDENS""]","[""alcohol_license""]",BEACON FINE DINING,pending,pending
BH-c6af3efc43732717,"BEACON HILL WINE & SPIRITS, INC.",BEACONHILLWINESPIRITSINC,"[""LB-101952""]","[""BEACON HILL WINE & SPIRITS""]","[""alcohol_license""]",BEACON HILL WINE & SPIRITS,pending,pending
BH-d6a771e542f73f8b,BEAU GESTE XXV LLC,BEAUGESTEXXVLLC,"[""LB-101635""]","[""DOUBLETREE GUEST SUITES""]","[""alcohol_license""]",BEAU GESTE XXV,pending,pending
BH-39f60618147a4555,B.EE.F. Inc.,BEEFINC,"[""LB-364796""]","[""Fasika Cafe""]","[""alcohol_license""]",B.EE.F.,pending,pending
BH-a73ac66c80344295,"Beitna, LLC",BEITNALLC,"[""LB-603763""]","[""BEY""]","[""alcohol_license""]",Beitna,pending,pending
BH-23ebeb36e89fc3cb,Bella Haven Restaurant Group,BELLAHAVENRESTAURANTGROUP,"[""LB-471198""]","[""The Haven at the Brewery""]","[""alcohol_license""]",Bella Haven Restaurant Group,pending,pending
BH-7377a34d6b3ca362,"Bell's Market, Inc.",BELLSMARKETINC,"[""LB-102051""]","[""BELL'S MARKET""]","[""alcohol_license""]",Bell's Market,pending,pending
BH-8096f7a82a338c8e,BENNINGTON1004 LLC,BENNINGTON1004LLC,"[""LB-202196""]","[""Renegades Pub""]","[""alcohol_license""]",BENNINGTON1004,pending,pending
BH-267b8c0e61bf72c0,"BENNINGTON LIQUORS, INC.",BENNINGTONLIQUORSINC,"[""LB-101947""]","[""NEPTUNE LIQUORS""]","[""alcohol_license""]",BENNINGTON LIQUORS,pending,pending
BH-30f9f459900738d1,"Bento Express, Inc.",BENTOEXPRESSINC,"[""LB-125132""]","[""BBQ Chicken""]","[""alcohol_license""]",Bento Express,pending,pending
BH-4ebc7a85c214c20a,BERKELEY PLACE RESTAURANT LIMITED PARTNERSHIP,BERKELEYPLACERESTAURANTLIMITEDPARTNERSHIP,"[""LB-99237""]","[""GRILLE 23 RESTAURANT & BAR""]","[""alcohol_license""]",BERKELEY PLACE RESTAURANT LIMITED PARTNERSHIP,pending,pending
BH-060da1be083600b5,"BERTUCCI'S RESTAURANTS, LLC",BERTUCCISRESTAURANTSLLC,"[""LB-99232""]",[],"[""alcohol_license""]",BERTUCCI'S RESTAURANTS,pending,pending
BH-177c2d712748a8fd,"Beverly Street Hotel 1B, LLC",BEVERLYSTREETHOTEL1BLLC,"[""LB-202498""]",[],"[""alcohol_license""]",Beverly Street Hotel 1B,pending,pending
BH-3d89a8490def2b8e,"BEY GROUP, LLC",BEYGROUPLLC,"[""LB-202232""]","[""MIDA""]","[""alcohol_license""]",BEY GROUP,pending,pending
BH-1dde8d44827af472,"Beza Mackenzie, LLC",BEZAMACKENZIELLC,"[""LB-99678""]","[""Blue Nile""]","[""alcohol_license""]",Beza Mackenzie,pending,pending
BH-14de74592a9af7a2,Bhagwan Corporation,BHAGWANCORPORATION,"[""LB-101849""]","[""Southie Liquor""]","[""alcohol_license""]",Bhagwan,pending,pending
BH-06aebc151b174ead,BHC CORPORATION GENERAL PARTNER,BHCCORPORATIONGENERALPARTNER,"[""LB-98997""]","[""CLUB CAFE""]","[""alcohol_license""]",BHC CORPORATION GENERAL PARTNER,pending,pending
BH-b31a8e1f52663abd,"BHR OPERATIONS, L.L.C.",BHROPERATIONSLLC,"[""LB-101614""]","[""WYNDHAM BOSTON BEACON HILL""]","[""alcohol_license""]",BHR OPERATIONS,pending,pending
BH-f180f14cc8aca228,BIG CAUSEWAY LLC,BIGCAUSEWAYLLC,"[""LB-99117""]","[""Big Night Live/Studio B/Play""]","[""alcohol_license""]",BIG CAUSEWAY,pending,pending
BH-070c9f8b041d429d,"BIG HOUSE FINE DINING, LLC",BIGHOUSEFINEDININGLLC,"[""LB-99376""]","[""SCAMPO & ALIBI""]","[""alcohol_license""]",BIG HOUSE FINE DINING,pending,pending
